nid,id,name,description,resource_markdown
1,UBERON:0000007,pituitary gland,The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000007](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000007).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000007&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
2,UBERON:0000458,endocervix,The region of the opening of the uterine cervix into the uterine cavity.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000458](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000458).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000458&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
3,UBERON:0000473,testis,A gonad of a male animal. A gonad produces and releases sperm.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000473](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000473).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000473&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
4,UBERON:0000945,stomach,"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000945](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000945).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000945&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
5,UBERON:0000992,ovary,the gonad of a female organism which contains germ cells,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000992](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000992).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000992&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
6,UBERON:0000995,uterus,the female muscular organ of gestation in which the developing embryo or fetus is nourished until birth,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000995](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000995).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000995&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
7,UBERON:0000996,vagina,"A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0000996](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000996).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000996&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
8,UBERON:0001114,right lobe of liver,"The right lobe is much larger than the left; the proportion between them being as six to one. It occupies the right hypochondrium, and is separated from the left lobe on its upper surface by the falciform ligament; on its under and posterior surfaces by the left sagittal fossa; and in front by the umbilical notch. It is of a somewhat quadrilateral form, its under and posterior surfaces being marked by three fossæ: the porta and the fossæ for the gall-bladder and inferior vena cava, which separate its left part into two smaller lobes; the quadrate and caudate lobes..","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001114](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001114).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001114&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
9,UBERON:0001150,body of pancreas,"The body of the pancreas is a subsection of the pancreas organ in the human body. It is somewhat prismatic in shape, and has three surfaces: anterior, posterior, and inferior. It is at the same level as the transpyloric plane..","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001150](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001150).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001150&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
10,UBERON:0001157,transverse colon,"The proximal-distal subdivision of colon that runs transversely across the upper part of the abdomen, from the right to the left colic flexure. Continuous with the descending colon.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001157](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001157).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001157&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
11,UBERON:0001159,sigmoid colon,"The part of the large intestine that is closest to the rectum and anus. It forms a loop that averages about 40 cm. in length, and normally lies within the pelvis, but on account of its freedom of movement it is liable to be displaced into the abdominal cavity.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001159](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001159).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001159&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
12,UBERON:0001211,Peyer's patch,the protruding lymphoid tissue located on the mucosa of the intestine that is composed of densely packed B cell follicles,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001211](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001211).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001211&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
13,UBERON:0001225,cortex of kidney,"Outer cortical portion of the kidney, between the renal capsule and the renal medulla.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001225](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001225).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001225&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
