pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
108	https://pubchem.ncbi.nlm.nih.gov/compound/108	3505	https://drugcentral.org/drugcard/3505		
119	https://pubchem.ncbi.nlm.nih.gov/compound/119	1262	https://drugcentral.org/drugcard/1262		
137	https://pubchem.ncbi.nlm.nih.gov/compound/137	166	https://drugcentral.org/drugcard/166		
176	https://pubchem.ncbi.nlm.nih.gov/compound/176	4211	https://drugcentral.org/drugcard/4211		
187	https://pubchem.ncbi.nlm.nih.gov/compound/187	65	https://drugcentral.org/drugcard/65		
190	https://pubchem.ncbi.nlm.nih.gov/compound/190	89	https://drugcentral.org/drugcard/89		
196	https://pubchem.ncbi.nlm.nih.gov/compound/196	3474	https://drugcentral.org/drugcard/3474		
204	https://pubchem.ncbi.nlm.nih.gov/compound/204	4268	https://drugcentral.org/drugcard/4268		
222	https://pubchem.ncbi.nlm.nih.gov/compound/222	4625	https://drugcentral.org/drugcard/4625		
237	https://pubchem.ncbi.nlm.nih.gov/compound/237	2338	https://drugcentral.org/drugcard/2338		
243	https://pubchem.ncbi.nlm.nih.gov/compound/243	4664	https://drugcentral.org/drugcard/4664		
244	https://pubchem.ncbi.nlm.nih.gov/compound/244	334	https://drugcentral.org/drugcard/334		
247	https://pubchem.ncbi.nlm.nih.gov/compound/247	347	https://drugcentral.org/drugcard/347		
280	https://pubchem.ncbi.nlm.nih.gov/compound/280	4256	https://drugcentral.org/drugcard/4256		
305	https://pubchem.ncbi.nlm.nih.gov/compound/305	3097	https://drugcentral.org/drugcard/3097		
311	https://pubchem.ncbi.nlm.nih.gov/compound/311	666	https://drugcentral.org/drugcard/666		
313	https://pubchem.ncbi.nlm.nih.gov/compound/313	4568	https://drugcentral.org/drugcard/4568		
323	https://pubchem.ncbi.nlm.nih.gov/compound/323	738	https://drugcentral.org/drugcard/738		
338	https://pubchem.ncbi.nlm.nih.gov/compound/338	2416	https://drugcentral.org/drugcard/2416		
359	https://pubchem.ncbi.nlm.nih.gov/compound/359	2153	https://drugcentral.org/drugcard/2153		
379	https://pubchem.ncbi.nlm.nih.gov/compound/379	3998	https://drugcentral.org/drugcard/3998		
