id	glytoucan_ac
10000009	G67238CA
10008718	G18375DW
10011812	G70515GS
10022829	G73545YE
10023700	G86299UP
10053824	G51352HP
10062728	G84547LV
10062742	G18830JZ
10062744	G10234TF
10074840	G10488WF
10077784	G55331KX
10102976	G82026ML
10103058	G66741YQ
10106330	G38409FH
10121152	G82950HY
10130220	G76432BK
10137150	G37619KE
10145029	G82537KA
10145887	G18892PE
10147060	G62732AB
10147061	G47924XK
10147853	G42039AA
10148744	G88876JQ
10167273	G48117BL
10167274	G68350IL
10168639	G14511SS
10169039	G11042HO
10169040	G21856LC
10170292	G62200YG
10170667	G70073SG
10177989	G00056MO
10185565	G57666OY
10187270	G24270KX
10187357	G32796RQ
10188612	G57681KL
10190843	G77938WM
10197254	G65624ZE
10206531	G58612ZQ
10212235	G14746EI
10213173	G04315YS
10213283	G89129AU
102190	G12969NX
10219674	G98187HG
10220660	G18923CQ
10221549	G65609XC
10221550	G02880JU
102288	G64134SS
10230776	G90562PB
10230777	G06239NA
10232075	G46222DM
10234335	G53480FX
10235450	G18980FQ
10260428	G98465JN
10260882	G06107FU
10278847	G78074HX
10280644	G82739ZR
10281882	G65291BW
10284088	G27236KE
10293316	G09776OJ
10295910	G85714GY
10303841	G06483KZ
10303842	G29487JS
10305597	G14632ZD
10306552	G63059VZ
10322152	G13157WZ
10329183	G68996TE
10372259	G61087VG
10373325	G34022KC
10396118	G65438SS
10416988	G48459HT
10440216	G06912LX
10464278	G24604HV
10486441	G06374RJ
10508619	G40028TR
10555891	G72709KO
10556082	G59905YM
10606585	G29857RC
10652027	G17259DV
107526	G59743JO
10816642	G74344PA
10818156	G73251IT
10869261	G28553JC
10874809	G21269SH
10877291	G26886DA
10887738	G59303OX
10888078	G04960UI
10892749	G30350VC
10895153	G33817CT
10898368	G49449BQ
10904041	G40955CS
10909468	G88495BI
10925912	G71135WJ
10939528	G72576LG
10939875	G37867ZC
10953689	G64345WG
10954115	G06186NU
10961582	G64351DA
10965116	G43927EM
10973187	G98948XS
10973188	G15727EQ
10973189	G02998EX
10975657	G75380KK
10985260	G09376MR
10985677	G81971FM
10985690	G98511QW
10994741	G86542FP
10995590	G97569KL
11007580	G08861VL
11008084	G83311LS
11008085	G37893YB
11013287	G07490EK
11014452	G07265MJ
11018666	G97862VK
11019447	G09259UZ
11019448	G23887LS
11024313	G34516MK
11027541	G34173EV
11027987	G19529BG
11030410	G44782GU
11051152	G26123AX
11058078	G61994TY
11060640	G87727XV
11072407	G52789LB
11072436	G56299XO
11088249	G24606EO
11096158	G29322AW
11099946	G29313LW
11105941	G51256ID
111112	G55420MQ
111123	G97146EI
11115032	G69211UR
11124767	G17792PO
