CV_ID	GLYTOUCAN_ID	PUBCHEM_CID	COMPOSITION	MASS	IMAGE_URL	LINK_OUT_URL
10011812	G70515GS	10011812	HexA1 Other4	1492.94	https://api.glygen.org/glycan/image/G70515GS	https://www.glygen.org/glycan/G70515GS
10103058	G66741YQ	10103058	Hex5 HexNAc4	1640.59	https://api.glygen.org/glycan/image/G66741YQ	https://www.glygen.org/glycan/G66741YQ
10121152	G82950HY	10121152	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G82950HY	https://www.glygen.org/glycan/G82950HY
10137150	G37619KE	10137150	HexNAc2	424.17	https://api.glygen.org/glycan/image/G37619KE	https://www.glygen.org/glycan/G37619KE
10145887	G18892PE	10145887	HexNAc3	627.25	https://api.glygen.org/glycan/image/G18892PE	https://www.glygen.org/glycan/G18892PE
10147060	G62732AB	10147060	Hex2 HexNAc2	748.27	https://api.glygen.org/glycan/image/G62732AB	https://www.glygen.org/glycan/G62732AB
10147061	G47924XK	10147061	Hex2 HexNAc2	748.27	https://api.glygen.org/glycan/image/G47924XK	https://www.glygen.org/glycan/G47924XK
10147853	G42039AA	10147853	Hex2 HexNAc3	951.35	https://api.glygen.org/glycan/image/G42039AA	https://www.glygen.org/glycan/G42039AA
10148744	G88876JQ	10148744	Hex3 HexNAc4	1316.49	https://api.glygen.org/glycan/image/G88876JQ	https://www.glygen.org/glycan/G88876JQ
10169040	G21856LC	10169040	Hex3 HexNAc1	707.25	https://api.glygen.org/glycan/image/G21856LC	https://www.glygen.org/glycan/G21856LC
10170667	G70073SG	10170667	Hex3 HexNAc3	1113.41	https://api.glygen.org/glycan/image/G70073SG	https://www.glygen.org/glycan/G70073SG
10177989	G00056MO	10177989	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G00056MO	https://www.glygen.org/glycan/G00056MO
10188612	G57681KL	10188612	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G57681KL	https://www.glygen.org/glycan/G57681KL
10190843	G77938WM	10190843	Hex1 HexNAc3	789.3	https://api.glygen.org/glycan/image/G77938WM	https://www.glygen.org/glycan/G77938WM
10206531	G58612ZQ	10206531	Hex2 dHex1	488.17	https://api.glygen.org/glycan/image/G58612ZQ	https://www.glygen.org/glycan/G58612ZQ
10220660	G18923CQ	10220660	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G18923CQ	https://www.glygen.org/glycan/G18923CQ
10221550	G02880JU	10221550	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G02880JU	https://www.glygen.org/glycan/G02880JU
10230776	G90562PB	10230776	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G90562PB	https://www.glygen.org/glycan/G90562PB
10230777	G06239NA	10230777	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G06239NA	https://www.glygen.org/glycan/G06239NA
10232075	G46222DM	10232075	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G46222DM	https://www.glygen.org/glycan/G46222DM
10235450	G18980FQ	10235450	Hex3 HexNAc3	1113.41	https://api.glygen.org/glycan/image/G18980FQ	https://www.glygen.org/glycan/G18980FQ
10260428	G98465JN	10260428	Hex4 HexNAc1 dHex1	1015.36	https://api.glygen.org/glycan/image/G98465JN	https://www.glygen.org/glycan/G98465JN
10278847	G78074HX	10278847	Hex3	504.17	https://api.glygen.org/glycan/image/G78074HX	https://www.glygen.org/glycan/G78074HX
10284088	G27236KE	10284088	Hex1 HexNAc3	789.3	https://api.glygen.org/glycan/image/G27236KE	https://www.glygen.org/glycan/G27236KE
10295910	G85714GY	10295910	HexNAc2	424.17	https://api.glygen.org/glycan/image/G85714GY	https://www.glygen.org/glycan/G85714GY
10322152	G13157WZ	10322152	Hex1 HexNAc1 S1	463.1	https://api.glygen.org/glycan/image/G13157WZ	https://www.glygen.org/glycan/G13157WZ
10373325	G34022KC	10373325	Hex2 HexNAc1 dHex2	837.31	https://api.glygen.org/glycan/image/G34022KC	https://www.glygen.org/glycan/G34022KC
10464278	G24604HV	10464278	Hex6 HexNAc5	2005.72	https://api.glygen.org/glycan/image/G24604HV	https://www.glygen.org/glycan/G24604HV
10606585	G29857RC	10606585	Hex6 HexNAc5	2005.72	https://api.glygen.org/glycan/image/G29857RC	https://www.glygen.org/glycan/G29857RC
10909468	G88495BI	10909468	Hex5 HexNAc4 NeuAc2	2222.78	https://api.glygen.org/glycan/image/G88495BI	https://www.glygen.org/glycan/G88495BI
10939528	G72576LG	10939528	Hex1 HexNAc1 S1	463.1	https://api.glygen.org/glycan/image/G72576LG	https://www.glygen.org/glycan/G72576LG
10985260	G09376MR	10985260	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G09376MR	https://www.glygen.org/glycan/G09376MR
10985677	G81971FM	10985677	Hex1 HexNAc1 dHex1 NeuAc1	820.3	https://api.glygen.org/glycan/image/G81971FM	https://www.glygen.org/glycan/G81971FM
10995590	G97569KL	10995590	NeuAc2	600.2	https://api.glygen.org/glycan/image/G97569KL	https://www.glygen.org/glycan/G97569KL
11051152	G26123AX	11051152	Hex3 HexNAc1 dHex1	853.31	https://api.glygen.org/glycan/image/G26123AX	https://www.glygen.org/glycan/G26123AX
11060640	G87727XV	11060640	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G87727XV	https://www.glygen.org/glycan/G87727XV
11072436	G56299XO	11072436	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G56299XO	https://www.glygen.org/glycan/G56299XO
11088249	G24606EO	11088249	Hex1 Pen1	312.11	https://api.glygen.org/glycan/image/G24606EO	https://www.glygen.org/glycan/G24606EO
11099946	G29313LW	11099946	Hex2	342.12	https://api.glygen.org/glycan/image/G29313LW	https://www.glygen.org/glycan/G29313LW
11124767	G17792PO	11124767	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G17792PO	https://www.glygen.org/glycan/G17792PO
11136642	G72002FC	11136642	Hex3 HexNAc1 dHex1	853.31	https://api.glygen.org/glycan/image/G72002FC	https://www.glygen.org/glycan/G72002FC
11141474	G21109IJ	11141474	Hex1 Pen1	312.11	https://api.glygen.org/glycan/image/G21109IJ	https://www.glygen.org/glycan/G21109IJ
11146770	G77865AH	11146770	Hex4	666.22	https://api.glygen.org/glycan/image/G77865AH	https://www.glygen.org/glycan/G77865AH
11240191	G85278ER	11240191	Hex4 HexNAc2	1072.38	https://api.glygen.org/glycan/image/G85278ER	https://www.glygen.org/glycan/G85278ER
11240401	G44747CU	11240401	Hex6 HexNAc3	1599.57	https://api.glygen.org/glycan/image/G44747CU	https://www.glygen.org/glycan/G44747CU
11249135	G48740SL	11249135	Hex3	504.17	https://api.glygen.org/glycan/image/G48740SL	https://www.glygen.org/glycan/G48740SL
11400707	G56202TA	11400707	Hex9 HexNAc2	1882.64	https://api.glygen.org/glycan/image/G56202TA	https://www.glygen.org/glycan/G56202TA
11409652	G08371CD	11409652	HexNAc1 NeuAc1	512.19	https://api.glygen.org/glycan/image/G08371CD	https://www.glygen.org/glycan/G08371CD
11425306	G13902SG	11425306	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G13902SG	https://www.glygen.org/glycan/G13902SG
11467391	G15407YE	11467391	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G15407YE	https://www.glygen.org/glycan/G15407YE
11658901	G23487NW	11658901	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G23487NW	https://www.glygen.org/glycan/G23487NW
11801477	G41372SJ	11801477	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G41372SJ	https://www.glygen.org/glycan/G41372SJ
