DO_ID	ENSEMBL_IDs
DOID:0050156	ENSG00000164362|ENSG00000185303|ENSG00000122852|ENSG00000117983
DOID:0050167	ENSG00000160224
DOID:0050328	ENSG00000165409
DOID:0050331	ENSG00000070193|ENSG00000066468|ENSG00000068078
DOID:0050335	ENSG00000108370|ENSG00000186326
DOID:0050387	ENSG00000114026|ENSG00000134086|ENSG00000163939|ENSG00000154803|ENSG00000170881|ENSG00000181555
DOID:0050419	ENSG00000205403
DOID:0050424	ENSG00000134982
DOID:0050426	ENSG00000234745
DOID:0050428	ENSG00000167768
DOID:0050429	ENSG00000017260
DOID:0050430	ENSG00000165731
DOID:0050431	ENSG00000119699
DOID:0050433	ENSG00000171867
DOID:0050434	ENSG00000123700
DOID:0050436	ENSG00000108395
DOID:0050437	ENSG00000005893
DOID:0050438	ENSG00000184937
DOID:0050439	ENSG00000137474|ENSG00000182040|ENSG00000150275|ENSG00000107736|ENSG00000006611
DOID:0050441	ENSG00000100299|ENSG00000113273|ENSG00000144455
DOID:0050445	ENSG00000102174
DOID:0050448	ENSG00000171401|ENSG00000170477
DOID:0050449	ENSG00000186832
DOID:0050450	ENSG00000070915
DOID:0050451	ENSG00000183873
DOID:0050452	ENSG00000110921
DOID:0050453	ENSG00000077279|ENSG00000091136|ENSG00000007168|ENSG00000167552|ENSG00000004848
DOID:0050454	ENSG00000196924|ENSG00000130023|ENSG00000124198
DOID:0050458	ENSG00000213281|ENSG00000133703|ENSG00000113721|ENSG00000196712|ENSG00000145819|ENSG00000152217
DOID:0050461	ENSG00000038002
DOID:0050462	ENSG00000127948|ENSG00000066468
DOID:0050463	ENSG00000125398
DOID:0050464	ENSG00000104763
DOID:0050465	ENSG00000076242|ENSG00000095002
DOID:0050467	ENSG00000188910
DOID:0050469	ENSG00000174775
DOID:0050470	ENSG00000171105
DOID:0050471	ENSG00000108946|ENSG00000133020
DOID:0050472	ENSG00000170442|ENSG00000170523|ENSG00000205426
DOID:0050473	ENSG00000116127
DOID:0050474	ENSG00000133710
DOID:0050475	ENSG00000166147|ENSG00000119681|ENSG00000140470|ENSG00000142303
DOID:0050477	ENSG00000168447
DOID:0050489	ENSG00000100697
DOID:0050524	ENSG00000172059|ENSG00000135100|ENSG00000106633|ENSG00000101076
DOID:0050526	ENSG00000169567
DOID:0050528	ENSG00000168303
DOID:0050529	ENSG00000172062
DOID:0050530	ENSG00000172062
DOID:0050534	ENSG00000188937
DOID:0050535	ENSG00000162337|ENSG00000174804
DOID:0050539	ENSG00000114354
DOID:0050540	ENSG00000169562|ENSG00000122877|ENSG00000158887|ENSG00000109099|ENSG00000105227
DOID:0050545	ENSG00000156925|ENSG00000136698|ENSG00000114739|ENSG00000172361
DOID:0050546	ENSG00000140459
DOID:0050547	ENSG00000165731
DOID:0050548	ENSG00000090054
DOID:0050553	ENSG00000204264
DOID:0050554	ENSG00000131269
DOID:0050558	ENSG00000142156|ENSG00000142173|ENSG00000163359
DOID:0050559	ENSG00000106692
DOID:0050564	ENSG00000131504
DOID:0050565	ENSG00000165474
DOID:0050566	ENSG00000147224
DOID:0050568	ENSG00000149922|ENSG00000188095|ENSG00000106003|ENSG00000179111|ENSG00000090932
DOID:0050569	ENSG00000175054
DOID:0050570	ENSG00000140650
DOID:0050571	ENSG00000168282
DOID:0050574	ENSG00000087299
DOID:0050575	ENSG00000180902
DOID:0050576	ENSG00000198707|ENSG00000144061|ENSG00000131697|ENSG00000173226|ENSG00000054282
DOID:0050577	ENSG00000163913
DOID:0050578	ENSG00000183638
DOID:0050579	ENSG00000163754
DOID:0050585	ENSG00000169692
DOID:0050587	ENSG00000178235
DOID:0050588	ENSG00000106692|ENSG00000085998|ENSG00000185900|ENSG00000009830|ENSG00000173540|ENSG00000130714
DOID:0050589	ENSG00000167207
DOID:0050590	ENSG00000197561
DOID:0050591	ENSG00000163132|ENSG00000198807|ENSG00000158813|ENSG00000135925
DOID:0050593	ENSG00000119681
DOID:0050600	ENSG00000136160
DOID:0050601	ENSG00000073282
DOID:0050602	ENSG00000094914
DOID:0050603	ENSG00000105983
DOID:0050604	ENSG00000163501
DOID:0050605	ENSG00000147804
DOID:0050606	ENSG00000174437
DOID:0050628	ENSG00000132326
DOID:0050629	ENSG00000104889|ENSG00000160710|ENSG00000136104|ENSG00000172922|ENSG00000115267|ENSG00000101347
DOID:0050630	ENSG00000102001
DOID:0050631	ENSG00000147100
DOID:0050632	ENSG00000077498
DOID:0050633	ENSG00000101850
DOID:0050634	ENSG00000168453
DOID:0050635	ENSG00000105409|ENSG00000018625
DOID:0050636	ENSG00000118137|ENSG00000171560|ENSG00000090382|ENSG00000166710
DOID:0050637	ENSG00000148180
DOID:0050638	ENSG00000118271
DOID:0050639	ENSG00000164509|ENSG00000145623
DOID:0050641	ENSG00000112077
DOID:0050642	ENSG00000110911|ENSG00000115107
DOID:0050644	ENSG00000091262|ENSG00000197594
DOID:0050645	ENSG00000197496
DOID:0050647	ENSG00000147224
DOID:0050648	ENSG00000136068|ENSG00000155850
