DO_ID	UNIPROT_ACs
DOID:0050156	O14746|Q8IWL1|Q8IWL2|Q9HC84
DOID:0050167	O43918
DOID:0050328	P16473
DOID:0050331	O15520|P21802|P22607
DOID:0050335	O75916|Q6ZS82
DOID:0050387	O15527|P40337|Q86U86|Q8NFG4|Q8WU17|Q9BYW2
DOID:0050419	P05156
DOID:0050424	P25054
DOID:0050426	P01889
DOID:0050428	P04264
DOID:0050429	P98194
DOID:0050430	P07949
DOID:0050431	P10600
DOID:0050433	P04156
DOID:0050434	P63252
DOID:0050436	O94972
DOID:0050437	P13473
DOID:0050438	P19544
DOID:0050439	Q13402|Q495M9|Q96QU1|Q9H251|Q9Y6N9
DOID:0050441	P15289|P15848|Q8NBK3
DOID:0050445	P78562
DOID:0050448	P13646|P19013
DOID:0050449	P08779
DOID:0050450	P55017
DOID:0050451	Q14524
DOID:0050452	Q03426
DOID:0050453	O43602|P07942|P43034|Q71U36|Q96QS3
DOID:0050454	P21333|Q5T6L9|Q9Y6D5
DOID:0050458	P01111|P01116|P09619|P21359|Q9UNA1|Q9Y6X0
DOID:0050461	P20933
DOID:0050462	P16435|P21802
DOID:0050463	P48436
DOID:0050464	Q13510
DOID:0050465	P40692|P43246
DOID:0050467	O75712
DOID:0050469	P01112
DOID:0050470	P06213
DOID:0050471	P10644|P13535
DOID:0050472	O43790|P78385|Q14533
DOID:0050473	Q8TCU4
DOID:0050474	Q9NQ38
DOID:0050475	P35555|Q14767|Q8TE56|Q9H324
DOID:0050476	Q16635
DOID:0050477	P51168
DOID:0050489	Q9UPY3
DOID:0050524	O14901|P20823|P35557|P41235
DOID:0050526	P49773
DOID:0050528	Q8TAP9
DOID:0050529	Q16637
DOID:0050530	Q16637
DOID:0050534	Q9GZU5
DOID:0050535	O75197|Q9ULV1
DOID:0050539	Q92734
DOID:0050540	P08034|P11161|P25189|Q01453|Q9BXM0
DOID:0050545	O60481|P0CG37|Q13705|Q96M91
DOID:0050546	P05108
DOID:0050547	P07949
DOID:0050548	O15269
DOID:0050553	P28062
DOID:0050554	O75027
DOID:0050558	P12109|P12110|P12111
DOID:0050559	O75072
DOID:0050564	O60610
DOID:0050565	P29033
DOID:0050566	P60891
DOID:0050568	O95947|Q0VG99|Q8NES3|Q9BYE0|Q9NYJ7
DOID:0050569	Q13535
DOID:0050570	O15305
DOID:0050571	Q10469
DOID:0050574	Q9H9P8
DOID:0050575	Q8N465
DOID:0050576	O15078|O15259|O75161|Q15051|Q86SQ7
DOID:0050577	Q9HBG6
DOID:0050578	Q8IWN7
DOID:0050579	P46976
DOID:0050585	O15120
DOID:0050587	Q96PX8
DOID:0050588	O75072|Q8WZA1|Q9H5K3|Q9UKY4|Q9Y5P6|Q9Y6A1
DOID:0050589	Q9HC29
DOID:0050590	P08246
DOID:0050591	P28360|P55771|Q92838|Q9GZT5
DOID:0050593	Q14767
DOID:0050600	P24530
DOID:0050601	Q9H3D4
DOID:0050602	Q9NRG9
DOID:0050603	Q8WVP7
DOID:0050604	Q14623
DOID:0050605	Q6P5W5
DOID:0050606	P16615
DOID:0050628	O15055
DOID:0050629	O75792|P55265|Q5TBB1|Q8TDP1|Q9BYX4|Q9Y3Z3
DOID:0050630	O60840
DOID:0050631	P36021
DOID:0050632	P14679
DOID:0050633	P51810
DOID:0050634	O43593
DOID:0050635	P13637|P50993
DOID:0050636	P02647|P02671|P61626|P61769
DOID:0050637	P06396
DOID:0050638	P02766
DOID:0050639	Q8NI17|Q99650
DOID:0050641	Q02094
DOID:0050642	P49281|Q658P3
DOID:0050644	O95255|P22413
DOID:0050645	O95528
DOID:0050647	P60891
DOID:0050648	O75369|P50443
DOID:0050649	P02787
DOID:0050650	O60706|O60939|O75694|P01160|P22460|P36382|P51787|P63252|Q07699|Q14524|Q9Y6J6
DOID:0050651	P17302|P43694|Q92908
DOID:0050654	O94761
DOID:0050655	O00358
DOID:0050656	Q16625
DOID:0050657	P60484
DOID:0050658	P29033
DOID:0050659	Q9BZV2
DOID:0050660	P21802
DOID:0050661	O76090|P23942|Q17R60|Q9BZV3
DOID:0050662	O76090
DOID:0050663	P12109|P12110|P12111
DOID:0050664	Q6ZWL3
DOID:0050675	Q9NPC2
DOID:0050676	Q8NFG4
DOID:0050677	Q9Y276
DOID:0050678	Q9HC29
DOID:0050679	P04000|P04001
DOID:0050680	O75369
DOID:0050681	Q8IWS0
DOID:0050682	P49639
DOID:0050683	P12271
DOID:0050684	Q92979
DOID:0050689	P35453
DOID:0050690	Q9HBA0
DOID:0050691	P05549
DOID:0050692	O14983
DOID:0050693	Q9NQC7
DOID:0050694	Q9NQ40
DOID:0050699	Q01968
DOID:0050709	Q96QS3
DOID:0050710	Q96RQ3
DOID:0050711	P00450
DOID:0050712	P50440
DOID:0050715	Q9Y4U1
DOID:0050716	Q9H3L0
DOID:0050717	Q9NUN5
DOID:0050719	P15328
DOID:0050720	Q9Y619
DOID:0050722	O43175
DOID:0050723	Q9Y617
DOID:0050724	P78330
DOID:0050725	P17735
DOID:0050726	P16930
DOID:0050727	P32754
DOID:0050729	Q8WTS1
DOID:0050730	Q96H96
DOID:0050733	Q99707
DOID:0050734	P27352
DOID:0050741	P08172|P14416|P21964|P31645|P47869
DOID:0050752	O95292
DOID:0050754	Q7Z2E3
DOID:0050755	Q7Z333
DOID:0050757	O60220
DOID:0050759	P62633
DOID:0050760	Q3ZAQ7
DOID:0050762	P30566
DOID:0050763	Q9H267
DOID:0050764	Q14320
DOID:0050766	Q96RL7
DOID:0050768	Q8N5M1
DOID:0050770	P14314
DOID:0050771	O14521|O60333|O75204|P07949|P21912|P39905|P40337|P61244
DOID:0050772	P23763
DOID:0050773	O14521|P21912|P31040|Q99643|Q9NX18
DOID:0050774	O94761
DOID:0050775	Q9NTN3
DOID:0050777	Q9NRR6
DOID:0050778	Q9NXB0
DOID:0050779	Q96M11
DOID:0050780	O15344
DOID:0050781	P41227
DOID:0050787	P36894|Q13485
DOID:0050788	Q13253
DOID:0050789	Q13253
DOID:0050790	P43026
DOID:0050791	P03971|Q16671
DOID:0050792	Q02763
