ENSEMBL_ID	DO_ID
ENSG00000000419	DOID:0080557
ENSG00000000971	DOID:0060746|DOID:0110017
ENSG00000001084	DOID:0111681
ENSG00000001497	DOID:0060814
ENSG00000001626	DOID:0111864|DOID:1485
ENSG00000001631	DOID:0080491
ENSG00000003393	DOID:0060194
ENSG00000003400	DOID:0060060|DOID:0110115|DOID:10534
ENSG00000004455	DOID:0060020
ENSG00000004838	DOID:0110597
ENSG00000004848	DOID:0050453|DOID:0050709|DOID:0060309|DOID:0080468|DOID:0112021|DOID:0112151|DOID:14744
ENSG00000004864	DOID:0070341|DOID:0070342
ENSG00000004939	DOID:0110919|DOID:2373
ENSG00000004961	DOID:0111808|DOID:0111875
ENSG00000005102	DOID:0080590
ENSG00000005302	DOID:0111838
ENSG00000005339	DOID:1933
ENSG00000005471	DOID:0070223|DOID:0070229|DOID:1949
ENSG00000005893	DOID:0050437
ENSG00000005961	DOID:0060691|DOID:2219
ENSG00000006016	DOID:0060294|DOID:0080329
ENSG00000006042	DOID:0080634
ENSG00000006071	DOID:0060334|DOID:0070216|DOID:0070219
ENSG00000006283	DOID:0111742
ENSG00000006468	DOID:3369
ENSG00000006530	DOID:0080132|DOID:0110245
ENSG00000006611	DOID:0050439|DOID:0110473|DOID:0110826|DOID:0110830
ENSG00000006744	DOID:0111496|DOID:10283
ENSG00000007062	DOID:0050817|DOID:0110376|DOID:0111019
ENSG00000007168	DOID:0050453|DOID:0060469
ENSG00000007174	DOID:0111853
ENSG00000007312	DOID:2583
ENSG00000007314	DOID:0110682|DOID:0111538|DOID:14451|DOID:14452
ENSG00000007372	DOID:0080610|DOID:0111383|DOID:0111531|DOID:11975|DOID:12270|DOID:12271
ENSG00000007933	DOID:0080361
ENSG00000008056	DOID:0112122
ENSG00000008196	DOID:0060563
ENSG00000008226	DOID:1324|DOID:5041
ENSG00000008277	DOID:0080434
ENSG00000008311	DOID:9274
ENSG00000008441	DOID:0050858|DOID:0112102
ENSG00000008710	DOID:0080322|DOID:0110858
