cv_id	glytoucan_ac	pubchem_ac
10000009	G67238CA	10000009
10008718	G18375DW	10008718
10011812	G70515GS	10011812
10022829	G73545YE	10022829
10023700	G86299UP	10023700
10053824	G51352HP	10053824
10062728	G84547LV	10062728
10062742	G18830JZ	10062742
10062744	G10234TF	10062744
10074840	G10488WF	10074840
10077784	G55331KX	10077784
10102976	G82026ML	10102976
10103058	G66741YQ	10103058
10106330	G38409FH	10106330
10121152	G82950HY	10121152
10130220	G76432BK	10130220
10137150	G37619KE	10137150
10145029	G82537KA	10145029
10145887	G18892PE	10145887
10147060	G62732AB	10147060
10147061	G47924XK	10147061
10147853	G42039AA	10147853
10148744	G88876JQ	10148744
10167273	G48117BL	10167273
10167274	G68350IL	10167274
10168639	G14511SS	10168639
10169039	G11042HO	10169039
10169040	G21856LC	10169040
10170292	G62200YG	10170292
10170667	G70073SG	10170667
10177989	G00056MO	10177989
10185565	G57666OY	10185565
10187270	G24270KX	10187270
10187357	G32796RQ	10187357
10188612	G57681KL	10188612
10190843	G77938WM	10190843
10197254	G65624ZE	10197254
10206531	G58612ZQ	10206531
10212235	G14746EI	10212235
10213173	G04315YS	10213173
10213283	G89129AU	10213283
102190	G12969NX	102190
10219674	G98187HG	10219674
10220660	G18923CQ	10220660
10221549	G65609XC	10221549
10221550	G02880JU	10221550
102288	G64134SS	102288
10230776	G90562PB	10230776
10230777	G06239NA	10230777
10232075	G46222DM	10232075
10234335	G53480FX	10234335
10235450	G18980FQ	10235450
10260428	G98465JN	10260428
10260882	G06107FU	10260882
10278847	G78074HX	10278847
10280644	G82739ZR	10280644
10281882	G65291BW	10281882
10284088	G27236KE	10284088
10293316	G09776OJ	10293316
10295910	G85714GY	10295910
10303841	G06483KZ	10303841
10303842	G29487JS	10303842
10305597	G14632ZD	10305597
10306552	G63059VZ	10306552
10322152	G13157WZ	10322152
10329183	G68996TE	10329183
10372259	G61087VG	10372259
10373325	G34022KC	10373325
10396118	G65438SS	10396118
10416988	G48459HT	10416988
10440216	G06912LX	10440216
10464278	G24604HV	10464278
10486441	G06374RJ	10486441
10508619	G40028TR	10508619
10555891	G72709KO	10555891
10556082	G59905YM	10556082
10606585	G29857RC	10606585
10652027	G17259DV	10652027
107526	G59743JO	107526
10816642	G74344PA	10816642
10818156	G73251IT	10818156
10869261	G28553JC	10869261
10874809	G21269SH	10874809
10877291	G26886DA	10877291
10887738	G59303OX	10887738
10888078	G04960UI	10888078
10892749	G30350VC	10892749
10895153	G33817CT	10895153
10898368	G49449BQ	10898368
10904041	G40955CS	10904041
10909468	G88495BI	10909468
10925912	G71135WJ	10925912
10939528	G72576LG	10939528
10939875	G37867ZC	10939875
10953689	G64345WG	10953689
10954115	G06186NU	10954115
10961582	G64351DA	10961582
10965116	G43927EM	10965116
10973187	G98948XS	10973187
10973188	G15727EQ	10973188
10973189	G02998EX	10973189
10975657	G75380KK	10975657
10985260	G09376MR	10985260
10985677	G81971FM	10985677
10985690	G98511QW	10985690
10994741	G86542FP	10994741
10995590	G97569KL	10995590
11007580	G08861VL	11007580
11008084	G83311LS	11008084
11008085	G37893YB	11008085
11013287	G07490EK	11013287
11014452	G07265MJ	11014452
11018666	G97862VK	11018666
11019447	G09259UZ	11019447
11019448	G23887LS	11019448
11024313	G34516MK	11024313
11027541	G34173EV	11027541
11027987	G19529BG	11027987
11030410	G44782GU	11030410
11051152	G26123AX	11051152
11058078	G61994TY	11058078
11060640	G87727XV	11060640
11072407	G52789LB	11072407
11072436	G56299XO	11072436
11088249	G24606EO	11088249
11096158	G29322AW	11096158
11099946	G29313LW	11099946
11105941	G51256ID	11105941
111112	G55420MQ	111112
111123	G97146EI	111123
11115032	G69211UR	11115032
11124767	G17792PO	11124767
111317	G14987PW	111317
11134575	G05005QI	11134575
11136642	G72002FC	11136642
11137711	G26705YO	11137711
11141474	G21109IJ	11141474
11146770	G77865AH	11146770
11176527	G59342AI	11176527
11211263	G27776KI	11211263
11240191	G85278ER	11240191
11240401	G44747CU	11240401
11249135	G48740SL	11249135
11309871	G38419CD	11309871
11336802	G08539FO	11336802
113417	G35674CY	113417
11343399	G41470US	11343399
11355845	G11278RG	11355845
11375553	G55986BC	11375553
11375554	G00024MO	11375554
11389478	G38019KV	11389478
11400707	G56202TA	11400707
11409652	G08371CD	11409652
11418833	G34836GV	11418833
11425306	G13902SG	11425306
11433815	G98916HO	11433815
11435035	G55800WP	11435035
11458	G55954SF	11458
11467391	G15407YE	11467391
11477625	G44414OJ	11477625
11480803	G17163NX	11480803
11493885	G89854FG	11493885
11521105	G00123JF	11521105
11613070	G69739BI	11613070
11614319	G55807JY	11614319
11651921	G83119OD	11651921
11658901	G23487NW	11658901
11665140	G77659VW	11665140
11731382	G39814MO	11731382
11755848	G45796AX	11755848
11762871	G47517CO	11762871
11766460	G35556TW	11766460
11768454	G08143BZ	11768454
11782878	G94993SP	11782878
11801477	G41372SJ	11801477
11804933	G85582BO	11804933
11813424	G01187XC	11813424
11813941	G65996GC	11813941
11815216	G61905WR	11815216
11823089	G95391DQ	11823089
11828886	G90387AM	11828886
11979046	G33559CW	11979046
12002504	G81928IQ	12002504
12003287	G75623HL	12003287
12082513	G91511EJ	12082513
