UNIPROT_AC	DO_ID
A0PJY2	DOID:0090081
A1A4Y4	DOID:0110890
A1L188	DOID:0112091
A1X283	DOID:0111789
A2IDD5	DOID:0111224
A2PYH4	DOID:5426
A4D126	DOID:0110295|DOID:0111234
A5D8V7	DOID:0110624
A5D8W1	DOID:0111929
A6H8Y1	DOID:0111637
A6NCS4	DOID:6406
A6NFK2	DOID:0110462
A6NGG8	DOID:0110364
A6NHR9	DOID:0111193
A6NI61	DOID:0080194
A6NNB3	DOID:0110344
A6NNY8	DOID:0112036
A8MTZ0	DOID:0110140
A8MXD5	DOID:0110483
B0YJ81	DOID:0080102
B1AK53	DOID:0110494
B3EWF7	DOID:3534
C9JR72	DOID:0110935
D6RGH6	DOID:0111855
O00116	DOID:0110853
O00142	DOID:0080120|DOID:0111523
O00165	DOID:0112133
O00170	DOID:0112009|DOID:3829|DOID:5394
O00189	DOID:0110802
O00203	DOID:0060539|DOID:0060540|DOID:3753
O00204	DOID:0080258
O00217	DOID:0112083
O00238	DOID:0110965|DOID:0110978
O00253	DOID:9970
O00255	DOID:10017
O00287	DOID:5812
O00294	DOID:0110189|DOID:0110381
O00305	DOID:0050993|DOID:0111323
O00329	DOID:0111936
O00330	DOID:3649
O00358	DOID:0050655
O00400	DOID:0110794
O00423	DOID:0111169
O00429	DOID:0070347|DOID:0111438
O00444	DOID:0080106
O00462	DOID:3633
O00468	DOID:0110657
O00469	DOID:0060231
O00499	DOID:0111220
O00507	DOID:0070187
O00522	DOID:0080491
O00567	DOID:0050983
O00623	DOID:0080478|DOID:10582
O00628	DOID:0110851|DOID:2580
O00744	DOID:0090026
O00754	DOID:3413
O00755	DOID:0090067
O14497	DOID:0070044
O14521	DOID:0050771|DOID:0050773|DOID:0080533
O14578	DOID:0070288
O14593	DOID:5812
O14640	DOID:0060765
O14647	DOID:0060475
O14649	DOID:14557
O14653	DOID:0111449
O14654	DOID:0111835
O14656	DOID:0060730|DOID:543
O14662	DOID:0080222
O14672	DOID:0060258|DOID:0110050
O14686	DOID:0060473
O14745	DOID:0080078
O14746	DOID:0050156|DOID:0070016|DOID:12449
O14763	DOID:5520
O14764	DOID:0111292
O14770	DOID:0111697
O14773	DOID:0080059|DOID:0110726
O14788	DOID:0110943
O14793	DOID:0111072
O14802	DOID:0060794
O14807	DOID:0112169
O14810	DOID:0080426
O14813	DOID:0080143
O14832	DOID:10582
O14836	DOID:0060025|DOID:12177
O14874	DOID:0090126
O14896	DOID:0060055|DOID:0060239|DOID:0080593
O14901	DOID:0050524|DOID:0111106
O14920	DOID:0111959|DOID:0111960
O14926	DOID:0110406
O14936	DOID:0060807|DOID:14711
O14949	DOID:0080113
O14958	DOID:0060676
O14979	DOID:0110306
O14983	DOID:0050692
O15020	DOID:0050882|DOID:0080058
O15040	DOID:0110801
O15055	DOID:0050628|DOID:0110011
O15066	DOID:0112146
O15078	DOID:0050576|DOID:0070118|DOID:0110136|DOID:0110291|DOID:0111000
O15111	DOID:0060647
O15117	DOID:1588
O15118	DOID:0070113
O15119	DOID:0060614
O15120	DOID:0050585|DOID:0111135
O15143	DOID:0112004
O15146	DOID:0110670|DOID:0111375|DOID:0111377
O15160	DOID:0060792|DOID:0080791
O15169	DOID:684
O15178	DOID:3302
O15198	DOID:14557
O15228	DOID:0110852
O15232	DOID:0070299
O15239	DOID:0112099
O15247	DOID:0060828
O15259	DOID:0050576|DOID:0110999|DOID:0111112|DOID:12712
O15265	DOID:0050958
O15266	DOID:0060847|DOID:0112120
O15269	DOID:0050548|DOID:0070152
O15270	DOID:0070157
O15273	DOID:0110281|DOID:0110328
O15287	DOID:0111086
O15294	DOID:0080240
O15297	DOID:1612|DOID:2394
O15303	DOID:0110865
O15305	DOID:0050570|DOID:0080552
O15344	DOID:0050780|DOID:0080697
O15347	DOID:0111811
O15353	DOID:0060769|DOID:2012
O15357	DOID:9352
O15360	DOID:0111095|DOID:13636
O15399	DOID:0080456
O15409	DOID:0111275
O15484	DOID:9719
O15520	DOID:0050331|DOID:0111549
O15527	DOID:0050387
O15528	DOID:10609
O15533	DOID:0060009
O15537	DOID:0060763
O15541	DOID:0111868
O15550	DOID:0060473
O15554	DOID:0111577
O43167	DOID:0090009
O43172	DOID:0110392
O43175	DOID:0050722|DOID:0080076
O43181	DOID:0112065|DOID:0112074
O43186	DOID:0110333|DOID:0111005|DOID:10584
O43291	DOID:0060781
O43299	DOID:0110800
O43307	DOID:0080215
O43314	DOID:0111638
O43316	DOID:0111107|DOID:1837|DOID:9352|DOID:9744
O43318	DOID:0111787
O43320	DOID:0111813
O43323	DOID:0111774|DOID:14448
O43379	DOID:0070293
O43395	DOID:0110356
O43405	DOID:0110593|DOID:0111644
O43424	DOID:0080042
O43426	DOID:0060898|DOID:0080464
O43435	DOID:11198|DOID:12583|DOID:6406
O43462	DOID:0080754|DOID:0111821|DOID:0111847|DOID:0112012
O43464	DOID:0060892|DOID:0070000|DOID:14330
O43490	DOID:0050817|DOID:0110376|DOID:0111019
O43497	DOID:0111742
O43502	DOID:0111096
O43505	DOID:0111238
O43511	DOID:0060744|DOID:0110498
O43520	DOID:0070221|DOID:0070226|DOID:0070228|DOID:0070230|DOID:0070231
O43525	DOID:14264
O43526	DOID:0080462|DOID:14264
O43541	DOID:0080334|DOID:9827
O43542	DOID:1612
O43543	DOID:0111085
O43556	DOID:0090034
O43561	DOID:0111983
O43570	DOID:0111371
O43586	DOID:0080519
O43593	DOID:0050634|DOID:0060689|DOID:0110701|DOID:987
O43602	DOID:0050453
O43612	DOID:8986
O43623	DOID:0110952|DOID:3263
O43676	DOID:0112067
O43678	DOID:0112076
O43707	DOID:0111128|DOID:1312
O43709	DOID:1928
O43716	DOID:0112118
O43734	DOID:0111287|DOID:2058
O43772	DOID:0111585
O43790	DOID:0050472
