UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_IDs
A0A023IKK2	A0A023IKK2	ENSRNOG00000030431	RT1-Db2	DOID:0050156|DOID:0050168|DOID:0050784|DOID:0050827|DOID:0060532|DOID:10003|DOID:1024|DOID:10283|DOID:104|DOID:10608|DOID:10652|DOID:10983|DOID:11335|DOID:11656|DOID:11713|DOID:12029|DOID:1205|DOID:1210|DOID:12140|DOID:12148|DOID:12297|DOID:12306|DOID:12361|DOID:1245|DOID:12662|DOID:12849|DOID:12859|DOID:12894|DOID:13025|DOID:13141|DOID:13166|DOID:13241|DOID:13258|DOID:13375|DOID:1340|DOID:13404|DOID:13774|DOID:1389|DOID:1395|DOID:14040|DOID:14115|DOID:14330|DOID:1459|DOID:1495|DOID:1555|DOID:1586|DOID:1612|DOID:1686|DOID:2048|DOID:2377|DOID:2841|DOID:289|DOID:2945|DOID:2957|DOID:2988|DOID:3459|DOID:3492|DOID:399|DOID:401|DOID:417|DOID:437|DOID:4450|DOID:4780|DOID:5082|DOID:526|DOID:633|DOID:639|DOID:676|DOID:7147|DOID:7148|DOID:7188|DOID:750|DOID:7693|DOID:8869|DOID:8924|DOID:8929|DOID:8947|DOID:8986|DOID:8991|DOID:9074|DOID:9182|DOID:9415|DOID:9744|DOID:9849
A0A087WPC3	A0A087WPC3	ENSMUSG00000083138	Cyp4a29	DOID:10763
A0A087WPF7	AUTS2	ENSMUSG00000029673	Auts2	DOID:0060307|DOID:0070056|DOID:1574
A0A087WQ44	A0A087WQ44	ENSMUSG00000053877	Srcap	DOID:0111358
A0A087WR14	A0A087WR14	ENSMUSG00000095153	Gm21095	DOID:0070176
A0A087WR99	A0A087WR99	ENSMUSG00000099541	Gm21488	DOID:0070176
A0A087WS15	A0A087WS15	ENSMUSG00000084346	Cyp4a30b	DOID:0110861|DOID:10763
A0A087WSS0	A0A087WSS0	ENSMUSG00000099894	Gm20911	DOID:0070176
A0A096MIX7	A0A096MIX7	ENSRNOG00000000861	Zic3	DOID:0050545|DOID:0060856|DOID:0080016|DOID:0111766|DOID:2907|DOID:758
A0A096MJ56	A0A096MJ56	ENSRNOG00000032208	Eda	DOID:0050591|DOID:0111664
A0A096MJ68	A0A096MJ68	ENSRNOG00000046699	Slpi	DOID:11612|DOID:2945|DOID:3083|DOID:3525|DOID:4692|DOID:5844
A0A096MJB5	A0A096MJB5	ENSRNOG00000009466	Unc45b	DOID:0110259
A0A096MJE4	A0A096MJE4	ENSRNOG00000054129	Ctla4	DOID:0060025|DOID:0060060|DOID:0080162|DOID:0110751|DOID:10325|DOID:10608|DOID:11335|DOID:12132|DOID:12236|DOID:12306|DOID:12361|DOID:12365|DOID:12894|DOID:13241|DOID:1394|DOID:1612|DOID:1749|DOID:1909|DOID:2043|DOID:2048|DOID:2377|DOID:2513|DOID:2841|DOID:3083|DOID:321|DOID:3310|DOID:4450|DOID:4483|DOID:4780|DOID:557|DOID:5844|DOID:612|DOID:684|DOID:718|DOID:7188|DOID:7442|DOID:783|DOID:820|DOID:8893|DOID:9074|DOID:9119|DOID:9383|DOID:9538|DOID:9744|DOID:986
A0A096MJF9	A0A096MJF9	ENSRNOG00000007455	Tmem132e	DOID:0111634
A0A096MJG3	A0A096MJG3	ENSRNOG00000014464	Tnfsf13b	DOID:12894|DOID:2986
A0A096MJG5	A0A096MJG5	ENSRNOG00000033527	Pappa1	DOID:10763|DOID:2349|DOID:3393|DOID:3407|DOID:5844|DOID:90|DOID:9352
A0A096MJH9	A0A096MJH9	ENSRNOG00000047102	Popdc3	DOID:0110274
A0A096MJM7	A0A096MJM7	ENSRNOG00000020339	Neurl1	DOID:11832
A0A096MJN4	SEPT4	ENSRNOG00000007367	Sept4	DOID:12217|DOID:14330
A0A096MJP9	A0A096MJP9	ENSRNOG00000012274	Ddi2	DOID:9970
A0A096MJS9	A0A096MJS9	ENSRNOG00000015921	Esco2	DOID:5325
A0A096MJT6	A0A096MJT6	ENSRNOG00000038436	RGD1307100	DOID:0111555
A0A096MJU6	A0A096MJU6	ENSRNOG00000000323	Prdm1	DOID:9074
A0A096MJX4	A0A096MJX4	ENSRNOG00000051199	Fsip2	DOID:0111911
