nid,id,name,organism,ncbi_taxonomy.name,description,resource_markdown
22344,ENSG00000239839,DEFA3,2,Homo sapiens,defensin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2762],
4790,ENSG00000065613,SLK,2,Homo sapiens,STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088],
3936,ENSG00000005100,DHX33,2,Homo sapiens,DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718],
18803,ENSG00000183762,KREMEN1,2,Homo sapiens,kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550],
12502,ENSG00000145850,TIMD4,2,Homo sapiens,T cell immunoglobulin and mucin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25132],
5468,ENSG00000084110,HAL,2,Homo sapiens,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806],
13093,ENSG00000151093,OXSM,2,Homo sapiens,"3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]",
13520,ENSG00000154736,ADAMTS5,2,Homo sapiens,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221],
4326,ENSG00000028310,BRD9,2,Homo sapiens,bromodomain containing 9 [Source:HGNC Symbol;Acc:HGNC:25818],
23000,ENSG00000266265,KLF14,2,Homo sapiens,Kruppel like factor 14 [Source:HGNC Symbol;Acc:HGNC:23025],
2520,ENSG00000166819,PLIN1,2,Homo sapiens,perilipin 1 [Source:HGNC Symbol;Acc:HGNC:9076],
9038,ENSG00000122033,MTIF3,2,Homo sapiens,mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788],
2466,ENSG00000165474,GJB2,2,Homo sapiens,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],
4321,ENSG00000027869,SH2D2A,2,Homo sapiens,SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821],
1750,ENSG00000138768,USO1,2,Homo sapiens,USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904],
11092,ENSG00000136824,SMC2,2,Homo sapiens,structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011],
176,ENSG00000048405,ZNF800,2,Homo sapiens,zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267],
576,ENSG00000100365,NCF4,2,Homo sapiens,neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662],
23154,ENSG00000273749,CYFIP1,2,Homo sapiens,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759],
9719,ENSG00000127554,GFER,2,Homo sapiens,"growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]",
6373,ENSG00000101447,FAM83D,2,Homo sapiens,family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122],
292,ENSG00000069702,TGFBR3,2,Homo sapiens,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774],
17573,ENSG00000176246,OR4L1,2,Homo sapiens,olfactory receptor family 4 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:15356],
1552,ENSG00000134240,HMGCS2,2,Homo sapiens,3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008],
22299,ENSG00000237515,SHISA9,2,Homo sapiens,shisa family member 9 [Source:HGNC Symbol;Acc:HGNC:37231],
23393,ENSG00000282122,IGHV7-4-1,2,Homo sapiens,immunoglobulin heavy variable 7-4-1 [Source:HGNC Symbol;Acc:HGNC:5665],
18474,ENSG00000182177,ASB18,2,Homo sapiens,ankyrin repeat and SOCS box containing 18 [Source:HGNC Symbol;Acc:HGNC:19770],
10792,ENSG00000135248,FAM71F1,2,Homo sapiens,family with sequence similarity 71 member F1 [Source:HGNC Symbol;Acc:HGNC:30704],
5038,ENSG00000072315,TRPC5,2,Homo sapiens,transient receptor potential cation channel subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:12337],
